paper_id,authors,author_ids,title,year,committee_presentation_decision,committee_publication_decision,abstract,body,abstract_dreyer_count
2000/11,"Lucienne Fontelroy,Lani Smithhart,Bryanna Chimenti,Margie Bethune,Ceola Radsek,Bette Orlando,Bernadette Hibbler","36,37,38,39,40,41,42",International Migration in Europe: New Trends and New Methods of Analysis,2000,Reject,Reject,"Because he lied, he was punished. Mary told me that she told you. I'm sorry I'm late. My alarm didn't go off. Mennad ordered another bottle of whiskey. Tom is likely going to do that. How much did those onions cost? It is of the utmost importance. I'm allergic to synthetic rubber. I tried to persuade Tom, but I couldn't. Tom says you don't want to go to Boston with us. She didn't take off her shoes. I didn't tell Tom and Mary that I loved them. Tom isn't going to buy that for Mary. The bus was behind schedule.",NA,1
2000/12,"Maida Slipp,Dirk Christel,Jonnie Snellenberger,Edgar Agard,Monica Glory","43,44,45,46,47","The Book of Job: Aesthetics, Ethics, Hermeneutics",2000,Reject,Reject,"Tom visited Australia last summer. You're lucky I took you away from there. The meat was tender. Mary's a homophobe. Tom will be going to Boston soon. I should have taken the blue pill. Well, that's not going to happen. I did it a few times. An offer like that is not to be refused. Father is very healthy. I don't think that I'll ever be forgiven for doing that. The global economy is spiraling downwards. We need more volume. Sometimes, I don't understand him. Mary told everyone that she was adopted. The quality of tea is going down. Tom didn't stay in Australia as long as he wanted. He resigned and fled the country.",NA,3
2000/13,"George Wimbush,Jacquetta Kittinger,Nan Muss,China Mazikowski,Evangeline Skeans,Joyce Lindie","48,49,50,51,52,53",Mongrel Nation: Diasporic Culture and the Making of Postcolonial Britain,2000,Accept,Reject,Tom was elected in 2010. I believe that we do not need to limit these suffixes now. Did you not know that that was going to happen? I usually leave for school at about 6:30. The body adapts to stress. Layla lived in rural England. Tom told Mary he's seen that movie three times. Tom told me he was going to help.,NA,0
2000/14,"Kimiko Lupercio,Leanna Grinman,John Statum,Quincy Duy,Seymour Seabright,Mignon Estepp,Clayton Lozado","54,55,56,57,58,59,60",La frontera norte: integración y desarrollo,2000,Reject,Reject,"It's been three years since I've done that. I despise my neighbors. Layla was a hooker herself. Now that I hate Tom, all of my attention has been redirected to John. Tom gave Mary a piece of chocolate. Tom admitted that he wasn't ready. Koalas can only be seen in Austria. I've always cared about you, Tom. You must bind yourself to keep your promise.",NA,0
2000/15,"Dwain Means,Corene Som,Deandre Gazdik,Brandi Roseboro","61,62,63,64","Historia de la Revolución Mexicana, período 1934-1940: la educación socialista",2000,Accept,Reject,"Tom listened to his grandfather's stories. I'm having lunch with Tom later. She's bound to be on her guard. Tom packed a lunch for Mary to take to school. Tom said he's content with the deal he's been offered. That's what I thought in the first place. As for the accusations of heresy--here, the evidence is much weaker. I help him.",NA,0
2000/16,"Nubia Kedzierski,Emilie Sappington,Leota Bonnet,Bong Fiero,Jamee Hargrave,Albina Uxa,Debbie Clarkston","65,66,67,68,69,70,71","Curaçao in the Age of Revolutions, 1795-1800",2000,Reject,Reject,Fadil became addicted to that horrific behavior. I don't work your land. I know that Tom doesn't know I can't do that. The elevator is broken. You need to walk 7 floors up to the rooftop terrace. They didn't do this by themselves. Tom is absolutely gorgeous. This hotel is very near the lake. Sami is going to do his homework. He spoke with me in English in order to show off. I'll give you either of these stamps.,NA,2
2000/17,"Valery Rohlfs,Ashlie Hegmann,Janey Glassman,Reda Marnell,Magan Curfman,Cristina Meneal,Antony Dekok","72,73,74,75,76,77,78",A Grammar of the Bedouin Dialects of Central and Southern Sinai,2000,Accept,Reject,We'll get an opportunity to try that tomorrow. One milliard adults are illiterate. Do you think they're awake? Tom and Mary said they'd rather die than do that. Tom is a restaurant critic. I'm going to surprise Tom. She's fractured her leg. Bill was in his bedroom. The Supreme Court attacks school segregation. Tom lived in Boston when he was a kid. I wonder whether or not Tom really said that. They'll love that. Tom found Christmas presents hidden under his parents' bed. Tom tried not to react. I'm not afraid of anything. Please do not interrupt.,NA,2
2000/18,"Karlene Saxfield,Val Nafziger,Nicolle Ajello,Luis Neitzel,Shela Zupfer,Peggy Funt,Kristeen Euser","79,80,81,82,83,84,85",Woleaian Reference Grammar,2000,Reject,Reject,Tom shot Mary while she was sleeping. The speaker did not refer to his notes during his talk. Tom isn't with them. Where did you learn to play tennis? I know that Tom isn't much shorter than you. We stood on the top of the mountain. I told her I hated her. Tom might know where Mary works. She's in the pocket of big corporations. We may need to live in Australia for a few years. Am I imagining this?,NA,0
2000/19,"Tarsha Vonderahe,Noemi Coutre,Jonell Mleczko","86,87,88",An Operational Process for Workforce Planning,2000,Reject,Reject,"What did Jean make? Sami thinks Layla is capable of murder. I want a new oven. Americans called frankfurters ""dachshund sausages."" You don't want to tell me why, do you? And you say I don't have a nose for what's popular. Are you sure Mary can take care of herself?",NA,0
2000/20,"Dick Dunlap,Mao Ashley,Alonso Bersch,Kassandra Lebsock,Azalee Chowanec","89,90,91,92,93",The Thought Remolding Campaign of the Chinese Communist Party-State,2000,Accept,Reject,"Sami's boxes were marked and tagged. Don't you think Cookie would be a good name for a dog? Tom is the band's lead singer. You need a bat, a ball and gloves to play baseball. Now give me what I want. Mennad burned a Confederate flag in public. I can't come with them. Tom probably knows more than he's telling us. I think Tom and Mary are hiding something from us. She went back to the hotel. I should've done much better. Mary is too drunk to drive, isn't she?",NA,1
2000/21,"Mertie Carsen,Temple Mosby,Vern Tanis,Sherman Kulow,Shakia Armbrust","94,95,96,97,98",Towards a competitive European Internet industry: A socio-economic analysis of the European Internet industry and the Future Internet Public-Private Partnership,2000,Accept,Reject,Tom has said he won't win. I'd like to learn more about your company. I wonder whether Tom really needs that. Tell me what I should do. She's very happy that her team won. I didn't know I was supposed to be here yesterday. I don't know whether Tom and Mary are good teachers or not. Where's my grandfather?,NA,2
2000/22,"Ezekiel Altreche,Laine Cham,Felipe Billington","99,100,101","Markets, rights and power in Australian social policy",2000,Accept,Reject,"We lost sight of Tom in the crowd. That cost me three bucks. It'll be necessary to come back. Sami threw the bouquet of flowers into the trash. Where has the time gone? They told me they'd lost their watches. This is a major environmental disaster. How was your audition? I want you to come with me. He was a man of little culture, but with a considerable amount of rude strength, both physically and mentally. I am dying of hunger. ""You've fallen asleep. Good. I am now going to leave you all alone in the dark while I go out and get drunk."" ""You are a terrible person."" ""Gosh! You're still awake."" ""I stick my tongue out at you as a gesture of defiance. Now continue with the bloody story. If you omit even the tiniest and most insignificant of details, you will return here tomorrow to find these walls covered in excrement. Do I make myself perfectly clear?"" ""Shut up and listen."" I was supposed to do that last night. This phrasebook is very useful to me. She writes beautifully. I was on the mountain. They thought they could do that. Mary is a talkative person, isn't she? It's too hot. I'd like to talk with you about Tom.",NA,3
2000/23,"Rory Blouir,Benny Bobbs","102,103",Patenting Traditional Medicine,2000,Reject,Reject,"It was very cold, so the lake froze. Smoke was choking her. The pump did not act as it should have. I have no less than four brothers. We called on him last night. On the page there was a list of phone numbers. Who's your favorite family member? It could be a trap. By all means maintain an open mind, but not so open that your brain falls out. We don't know how to find him.",NA,3
2000/24,"Enrique Nisley,Courtney Saranzak,Shani Splinter,Guillermina Habeeb,Herbert Dobberfuhl","104,105,106,107,108",Customary Land Tenure & Registration in Australia and Papua New Guinea: Anthropological Perspectives,2000,Accept,Reject,"I spent all my money on stupid stuff. Tom didn't even look up from his book. Choose three books at random. I want to know why Tom isn't working here anymore. The situation is capable of improvement. Sami doesn't read the comments on his videos. I knew you wouldn't hurt me. I know how to fix this. Tom has never been to my house. Tom said that he was wondering whether Mary could do that or not. I don't know when she will come. Mary promised Tom she'd help him this afternoon. He took a step forward. Sami has been stealing from his family. She removed even this one. Hold on, please. Mary said that she really liked Tom. You will see what is good for coughing!",NA,1
2000/25,"Santina Opeka,Sandra Ibrahim,Raymonde Graciano,Vergie Gosda,Phillip Birdon","109,110,111,112,113","In het land van de overheerser: II: Antillianen en Surinamers in Nederland, 1634/1667-1954",2000,Reject,Reject,"Let's go out and play. If it is true, it follows that Nakagawa is guilty. Tom didn't want to go to his room. How many hot dogs are there? I told Tom and Mary that they should try to do that by themselves. Islam is a marvelous religion. Tom committed a horrible crime. Some people are never content with what they have. It may indeed be strange, but that's the way it is. Have you read the notice? Tom didn't need to go with me. I don't see much of him.",NA,0
2000/26,Many Bassin,114,"El vuelo del fénix: El capital, lecturas críticas a 150 años de su publicación (1867-2017)",2000,Reject,Reject,"I like you very much! I speak German a little bit. That's one of the things I was looking for. Can I get you something from the bar? So much for today's lesson. He left a while ago. The show is on. You must be at least 17 years old to donate blood. It was raining hard, and what is worse, the wind began to rise. She is at her wit's end with her son. He sometimes does not come home until 3 or 4 a.m. I have exactly 5,000 apples.",NA,5
2000/27,Humberto Davia,115,La industrialización en Iberoamérica,2000,Accept,Reject,"I've spent my whole life looking for someone like you. Tom let us know he didn't want to do that. We've taken a stand on this matter. We are Chaouis. It isn't a good car, but it's still a car. We reached an agreement at the end of the meeting. Tom was a year younger than Mary. Don't you worry about him. They told me that they felt cold. Did you have a good time on your trip to London? I stopped screaming. As far as English is concerned, she is second to none in her class. Tom can speak French almost as well as Mary. Tom's matured a fair bit in the last few years. I see the dog. Are Tom and Mary always like that? I'm terribly sorry for being late. I don't know whether Tom still lives here or not. If you feel there are several possible translations, you can add several translations in the same language.",NA,2
2000/28,"Alicia Nakagawa,Gayle Ziad,Reatha Ulrey,Gertude Szabo,Shirl Kauppi,Arielle Trulson","116,117,118,119,120,121",Hesychasm and Art: The Appearance of New Iconographic Trends in Byzantine and Slavic Lands in the 14th and 15th Centuries,2000,Reject,Reject,"It's so secret that even I don't know what it's all about. How do you know Tom and Mary are bluffing? Tom has been in Australia for a week now. I told the librarian that I needed the book for a report due on Friday; so she said she would call it in. Tom sacrificed himself for his friends. If you leave them alone, they'll leave you alone. Today, it's very foggy, and the sky is orange. It looks a lot like Mars. This car has the boot under the bonnet. The engine is in the back. Mary thought that Tom was going to kiss her. The bidet-toilet itself has not spread much outside of Japan. Tom said that he didn't want to do that without Mary. It was gracious of you to accept. On weekdays, shopping streets swarm with people hurrying and rushing along. They passed time by playing cards.",NA,3
2000/29,"Torri Buroker,Neda Paladino,Tiera Pekara,Venus Gilfillan,Galen Milelr","122,123,124,125,126","Spiritual Fitness and Resilience: A Review of Relevant Constructs, Measures, and Links to Well-Being",2000,Reject,Reject,"Tom said he thought my jokes were funny. He sat on the chair. A note was attached to the document with a paper clip. Mary told us that she'd cooperate. Mary said that she wasn't studying French anymore. Tom and Mary gathered their stuff and left. In order to tag sentences, you must, at least, be an ""advanced"" contributor. Devils are hiding among the rocks. Tom is able to do that now. If he came here, I would receive him with open arms. I thought Tom would want this one. I know you and Tom didn't do that together. I think Tom and Mary aren't going to resign. She starts her job at seven o'clock. They didn't waste much time, did they? What should we call the company? I had no idea that Tom was planning to ask Mary not to do that. Keep your room as neat as you can. They told me that they're ready. Is that a request or an order?",NA,0
2000/30,Valda Escobar,127,"Academic E-Books: Publishers, Librarians, and Users",2000,Reject,Reject,"I don't think of Tom as shy, so much as introverted. It was clear Tom didn't know that you had done that. Tom ran over someone's dog. He'll be surprised, won't he? I was convinced that he was guilty. Read such a book as will be useful to you. How'd you do it? Tom seemed to be glad that that happened. Has the shipment arrived yet? You mustn't think only about your job, you must also think about the importance of your family. I know that Tom is a pretty good jazz saxophone player. Why do my feet hurt? I thought that Tom was going to ask everyone not to do that. The bread landed on the floor upside down. I like him. No one seems interested in Tom's paintings anymore. He is at school. Are they, too?",NA,4
2000/31,"Veda Rower,Garland Palermo,Nichole Lucus","128,129,130","Environment, Trade and Society in Southeast Asia: ALongue DuréePerspective",2000,Reject,Reject,Tom said that he didn't have to do that now. They told me they were annoyed. You don't have to be here now. Tom and Mary can say what they want. Was it nice in the sauna? I've never used this kind of bottle opener before. Mary milks her cows morning and evening. Say it's not so. Did you know I have a blog? Sami has no more explaining to do. What are you doing here now?,NA,1
2000/32,Erick Larubbio,131,The Family in Question: Immigrant and Ethnic Minorities in Multicultural Europe,2000,Reject,Reject,He dwelt on the pleasure of the past. What's the highest village in Kabylie? I'm ready when you are. I'd prefer that we not discuss this now. Scores of people visited Japan. I'm not wealthy. Don't stick your nose where it doesn't belong. Tom and Mary said they were going to need a little more money. His family is doing fine.,NA,0
2000/33,"Xiomara Castells,Dominque Hergenrader,Jaime Treworgy","132,133,134",How Much and What Kind?: Identifying an Adequate Technology Infrastructure for Early Childhood Education,2000,Accept,Accept,Tom headed for the exit. He's having lunch here tomorrow. Edward read the text. I think it's time to do my homework. What you have just said reminds me of an old saying. Tom doesn't need to know all the details. Who's your favourite actor? Tom won't be able do that without your help. Some fragile goods have been delivered for Sami. Tom was a big help to us. None of that is necessary. Tom is extremely disappointed. Tom is patient. Sami and Layla are no longer together. Memories of the accident are always with me. Didn't you know that Tom was going to be here? This is the young lady you asked to see. We've finished about 30% of the job. Tom and Mary told me that they thought John might be tempted to do that. Mennad remembers a few words of his native language.,NA,0
2000/34,"Rosalee Spindler,Tommye Nori,Toshiko Tharp,Carolynn Ryu,Vivien Zubrowski,Thaddeus Palso,Milton Kososky","135,136,137,138,139,140,141",Consumer Data Research,2000,Accept,Reject,"One of my suitcases got lost. Sami wore blue jeans. He felt his knees tremble. For what cause didst thou say, she was thy sister, that I might take her to my wife? Now therefore there is thy wife, take her, and go thy way. Sandra offered me her seat in the train. I saw him with you. We're helping them. Sami is probably lying to Layla. Tom was happy and so was I.",NA,1
2000/35,"Amee Bellanger,Catheryn Moulden","142,143",Borderland City in New India: Frontier to Gateway,2000,Reject,Reject,"Tom crossed the river in a small boat. Tom seems to be curious about that. Maybe one day you will realise that you miss me. It takes an hour to get to the station. Tom and Mary are circulating the photos on the Internet. Tom and I had a very interesting conversation this morning. Tom is my wife's friend. Mary looks a bit tired, doesn't she? It often seems that women will say one thing, but think and want something completely different. I forgot that today was Saturday. Tom is about to begin, isn't he? I lived in poverty. The United States borders Canada. He's performing live. How long did the earthquake last? What you did caused a lot of problems.",NA,2
2000/36,"Mica Pulliam,Hisako Stockwell","144,145",Problemas antropológicos y utópicos del conocimiento,2000,Accept,Reject,"She often goes to the movies with him. Tom made this bookcase. I don't think I could ever do that again. At least I'll die happy. I have no intention of lending this watch to anyone, much less parting with it. Fadil yelled at Dania to keep quiet. The vaccine has no effect. He met with an accident. Quit picking on us. They think they can sing. Tom complimented me. Tom didn't want to come to our party. The rats are ruining all the grain in the barn. Neither Tom nor Mary has anything to do right now. I don't think that Tom cares. The pain became excruciating. I'll never forget the first time that I saw you.",NA,0
2000/37,"Elna Shutty,Nathanial Benigni,Bobbie Winburn,Joane Latty,Jeri Santai,Georgiann Bracamonte","146,147,148,149,150,151",Aboriginal Population Profiles for Development Planning in the Northern East Kimberley,2000,Accept,Reject,"She'd do anything you ask her to do. I will also remind you of the dangers of your forefathers. Do you know what this word's equivalent is? I'm a little achy. Do you have something for me? I didn't know Tom was still working here. Tom's distinguishing feature is the way he speaks through his nose. You're welcome to join us if you want to. I didn't know whether Tom would agree to do that or not. I hope Tom tells Mary that he can't really speak French. The workers reconstructed the house brick by brick. The filmmakers can only speculate why McQueen, who struggled with drug addiction, took his life. Do you plan to get married before you're thirty? Everybody suspected him of taking a bribe.",NA,4
2000/38,"Isiah Milovich,Criselda Belfi,Shane Bers","152,153,154",The Industrial Base for Carbon Dioxide Storage: Status and Prospects,2000,Accept,Accept,"This is the very place that I have long wanted to visit. I let myself in through the back door. I've had a good time so far. Tom has been living in Australia way too long. This ship can reach extremely high speeds. Just start walking. I'm not like everybody else. I know Tom isn't a very talented songwriter. Open the window a little. I was going to do that by myself. Sami hasn't spoken with Layla for a while. He took a quick look at the magazine. Were you mean to her? My last year in Boston was 2013. Mike has some friends in Florida. I know how to read French. We are indirectly dependent upon the labour of others for all the necessities and comforts of our lives. Tom sent Mary next door to get help. This is the hospital where Tom and I were born. Well, I never!",NA,6
2000/39,"Delorse Andrado,Shawn Chiola,Lonny Muldowney,Glenda Galante,Caleb Lohmeyer,Carlee Gayoso,Bryant Youssef","155,156,157,158,159,160,161",Islam and Politics in Indonesia: The Masyumi Party between Democracy and Integralism,2000,Reject,Reject,"I wanted Tom to stay longer, but he had to leave. On the way home I pushed my bicycle. Mary didn't know what she should be doing. The problem is hers. I certainly hope that Tom is here. We don't take credit cards. Sami knows Layla's name. Mennad is still unemployed. The houses are here. She looks better today than when I her saw last. Mary says she forgot to remind Tom to do that. You must not base your estimation of a person on rumor alone.",NA,1
2000/40,"Mary Heneisen,Desirae Saleem","162,163",Health in Hard Times: Austerity and Health Inequalities,2000,Accept,Accept,"I told you I wouldn't do that anymore. I almost did it. I heard you tell Tom not to dance. Tom showed up at the party dressed like a pirate. I feel like the window was open all night. Football is a simple game. 22 men chase a ball for 90 minutes, and at the end the Germans always win. I just need some rest. If not now, then when? She pulled the curtain aside. The children were barefoot. Tom is a little on edge today. They figured that they could do that. Would you do me a favor and give this to Tom? I don't want to be seen with Tom. He has no clue. Emi has never written a letter. They said they heard a lot of gunshots.",NA,1
2000/41,"Gaynelle Zagrodnik,Joey Frick,Nannie Mandelberg,Zona Dornfeld,Ashleigh Cardiel,Alfredia Montie","164,165,166,167,168,169",Bolivia hoy: ¿una democracia poscolonial o anticolonial?,2000,Reject,Reject,Tom cooks very well. His idea is very different from ours. Mary told me that she was interested. Kylie Minogue is the best singer I've ever heard! Nixon was born in California. Tom was probably about thirteen years old at the time.,NA,2
2000/42,"Deetta Vilhauer,Orville Samain,Georgetta Mahowald,Edgardo Hiens","170,171,172,173",Formación docente y pensamiento crítico en Paulo Freire,2000,Accept,Accept,"I think Tom is too assertive. This task was dead tedious. Tom didn't elaborate. Forgive them, God, for they know not what they do. Asian carp is cheap. Everybody speaks well of her. Natural teak forests occur in only four countries: India, Laos, Burma and Thailand. Tom's library card is expired. It's not necessary for you to quit your job. They will lay another scheme. Both Tom and Mary can't be right. He took some horrible pictures of me. Persistence will pay off. That has nothing to do with him. I didn't know that you had to do that with Tom. We're the Jacksons.",NA,3
2000/43,"Ghislaine Lambertson,Louise Raquel","174,175",The Light Inside the Shadow: An Anthology of Works by BlueBoard Members,2000,Accept,Reject,I suspect that Tom and Mary are the ones who'll have to do that. I'll get some ice. My father is taking a walk in the park. Are you going to get in trouble because of me? I don't think that a native French speaker would say it that way. I have to see him now. Mary counted the remaining money in her bag. Imagine an entire world consisting only of metaphor. It wouldn't make sense.,NA,1
2000/44,"Gaylord Dohan,Marshall Dekoning,Adalberto Vails","176,177,178",A Quarter-Century of Normalization and Social Role Valorization: Evolution and Impact,2000,Reject,Accept,"In addition to English, he can speak French. Layla didn't say who she was. Do Tom and Mary teach at the same school? There is a lake on the east of the village. Recently, I've been suffering from lack of sleep, so my skin is crumbling. The café is just around the corner. Tom motioned for Mary to follow him. He looked like he was bored. This is one of the shortest books that I've read. My uncle came to see me.",NA,1
2000/45,"Vilma Scherrer,Tressie Scarpaci,Kirstin Luoto,Carolina Gandrud","179,180,181,182",The Gleam of Light: Moral Perfectionism and Education in Dewey and Emerson,2000,Accept,Accept,"Tom said that you didn't seem convinced. Tom said that he wanted to drop in on some old friends while he was in Boston. I still don't remember calling you. The sun shines behind the clouds. Do you write? Algeria is a great country. Seriously, they should get rid of pennies. Mennad told Baya to join the army. Money is the last thing he wants. Sami has never been so scared in his life. It is easy to tell him from his brother. It'll be beautiful. Tom wasn't as busy as Mary. Tom grew a beard and tried to disguise himself. She scared us. Tom and Mary are proud of themselves.",NA,2
2000/46,Dominick Agrela,183,Lessons from Department of Defense Disaster Relief Efforts in the Asia-Pacific Region,2000,Reject,Accept,"Please ask Tom if he's going to Australia. Tom was nearly run over by a truck. He was no match for a lawyer. I wish to sing. I didn't want to risk missing the train, so I arrived at the station an hour early. Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata. You should ask the doctor for something to help you sleep. I think that Tom is still worried. They came here one after another. The squirrel, the ape and the monkey, are kept at home for amusement. The dormouse and other larger mice, such as the weevil, the martin, the ferret, trouble the home. How long does it take from here to your house on foot? We seldom do that here. I don't think Tom knows I'm not single anymore. Sauron wants every hobbit to fear him. Tom and Mary said they'd look at it. Mary claims that she's never lied to me. Tom is a control freak. Nobody likes a sore loser. Han, Manchu, Mongol, Hui and Tibetan people (as well as other minority groups in China) are kins in one family. Aurochs have been extinct for centuries.",NA,4
2000/47,"Romelia Liewald,Sebastian Digsby,Maile Bacak,Marketta Rodiquez,Efrain Mcglone,Melina Luallen,Ali Houska","184,185,186,187,188,189,190",Des outils pour le changement: Une approche critique en études du développement,2000,Reject,Reject,"People are going to notice. Tom goes to school five days a week. Apparently, Tom doesn't like me. Tom pretended he didn't know Mary. You're about to be exonerated. I really like puppies. What type of work does Tom do? Tom found a cave not too far from the beach. Did Tom ever tell you where he was born? Indeed, Tom claimed that Maria had made no spelling mistakes, however he simply hadn't spotted them, since he himself has not mastered perfect spelling. Tom changes his email password every month. I speak a little Slovenian.",NA,2
2000/48,"Ula Morello,Alyssa Gius,Yasuko Mcconnel","191,192,193",Writing Beloveds: Humanist Petrarchism and the Politics of Gender,2000,Reject,Reject,"Tom knew Mary was going to be hungry. Mary isn't wearing her glasses today. No one asked me whether I liked it or not. One of the most widespread errors in translating is to translate too literally – word by word. Do Tom and Mary want to go to Australia? They hurried back to their offices. We want you to go to Australia next month. I also like cake. He is an extremist. Sami will explain you when he gets there. We're investigating a possible murder. Have another drink. It seems that Tom can still do that. Where are you studying? He's gone to the toilets, he's coming back. They had to go by themselves.",NA,1
2000/49,Rey Suszynski,194,Presencia y transparencia: la mujer en la historia de México,2000,Reject,Reject,"He still doesn't like Islam. I didn't know that you weren't planning on doing that by yourself. Tom was diagnosed with autism when he was three years old. Tom and Mary wanted to do that, but they didn't know how. Sami just took the money and didn't complain. He was at a loss what to do next. I'm nothing more than a politician. Someone has to tell Tom. Tom is worried that you might not do that. Do you think Tom would be interested in doing that?",NA,0
